INODE,ILAYER,ITSCOL,BH,BC,LBH,ITSCOLF,CFLOW,Notes
2767,1,1,0,319.61,371.96,4,0,/Black Butte Lake
2768,1,1,0,179.77,371.96,4,0,/Black Butte Lake
2769,1,1,0,310.39,371.96,4,0,/Black Butte Lake
2770,1,1,0,1523.25,371.96,4,0,/Black Butte Lake
2771,1,1,0,227.09,371.96,4,0,/Black Butte Lake
2829,1,1,0,146.79,371.96,4,0,/Black Butte Lake
2830,1,1,0,323.63,371.96,4,0,/Black Butte Lake
2831,1,1,0,384.73,371.96,4,0,/Black Butte Lake
2832,1,1,0,1702.24,371.96,4,0,/Black Butte Lake
2833,1,1,0,2109.12,371.96,4,0,/Black Butte Lake
2834,1,1,0,1648.81,371.96,4,0,/Black Butte Lake
2835,1,1,0,416.24,371.96,4,0,/Black Butte Lake
2836,1,1,0,575.61,371.96,4,0,/Black Butte Lake
2837,1,1,0,1587.83,371.96,4,0,/Black Butte Lake
2838,1,1,0,951.94,371.96,4,0,/Black Butte Lake
2839,1,1,0,133.36,371.96,4,0,/Black Butte Lake
2899,1,1,0,895.85,371.96,4,0,/Black Butte Lake
2900,1,1,0,682.17,371.96,4,0,/Black Butte Lake
2901,1,1,0,374.09,371.96,4,0,/Black Butte Lake
2902,1,1,0,795.81,371.96,4,0,/Black Butte Lake
2903,1,1,0,1897.69,371.96,4,0,/Black Butte Lake
2904,1,1,0,1711.38,371.96,4,0,/Black Butte Lake
2905,1,1,0,131.47,371.96,4,0,/Black Butte Lake
2906,1,1,0,129.36,371.96,4,0,/Black Butte Lake
2974,1,1,0,1761.97,371.96,4,0,/Black Butte Lake
2975,1,1,0,2526.09,371.96,4,0,/Black Butte Lake
2976,1,1,0,550.82,371.96,4,0,/Black Butte Lake
2977,1,1,0,451.49,371.96,4,0,/Black Butte Lake
3043,1,1,0,1372.42,371.96,4,0,/Black Butte Lake
3044,1,1,0,1617.11,371.96,4,0,/Black Butte Lake
3045,1,1,0,2342.58,371.96,4,0,/Black Butte Lake
3046,1,1,0,314.46,371.96,4,0,/Black Butte Lake
3113,1,1,0,485.47,371.96,4,0,/Black Butte Lake
3114,1,1,0,1570.23,371.96,4,0,/Black Butte Lake
3115,1,1,0,3270.56,371.96,4,0,/Black Butte Lake
3116,1,1,0,2819.84,371.96,4,0,/Black Butte Lake
3117,1,1,0,1379.86,371.96,4,0,/Black Butte Lake
3179,1,1,0,170.59,371.96,4,0,/Black Butte Lake
3180,1,1,0,991.02,371.96,4,0,/Black Butte Lake
3181,1,1,0,1424.89,371.96,4,0,/Black Butte Lake
3182,1,1,0,874.41,371.96,4,0,/Black Butte Lake
3183,1,1,0,2752.71,371.96,4,0,/Black Butte Lake
3184,1,1,0,933.37,371.96,4,0,/Black Butte Lake
3242,1,1,0,265.22,371.96,4,0,/Black Butte Lake
3243,1,1,0,600.7,371.96,4,0,/Black Butte Lake
3244,1,1,0,765.51,371.96,4,0,/Black Butte Lake
12447,1,2,0,831.36,105,5,0,/Camanche  
12452,1,2,0,1489,105,5,0,/Camanche  
12599,1,2,0,303.82,105,5,0,/Camanche  
12600,1,2,0,1069.46,105,5,0,/Camanche  
