Year,Month,VALUE,Datetime_EOM,C2VSim_Date,Sensor
1985.0,1.0,216.35399999999998,1985-01-31,01/31/1985_24:00,6
1985.0,2.0,215.715,1985-02-28,02/28/1985_24:00,6
1985.0,3.0,216.506,1985-03-31,03/31/1985_24:00,6
1985.0,4.0,221.718,1985-04-30,04/30/1985_24:00,6
1985.0,5.0,221.29666666666665,1985-05-31,05/31/1985_24:00,6
1985.0,6.0,218.185,1985-06-30,06/30/1985_24:00,6
1985.0,7.0,214.564,1985-07-31,07/31/1985_24:00,6
1985.0,8.0,210.5925,1985-08-31,08/31/1985_24:00,6
1985.0,9.0,208.29500000000002,1985-09-30,09/30/1985_24:00,6
1985.0,10.0,208.834,1985-10-31,10/31/1985_24:00,6
1985.0,11.0,210.3925,1985-11-30,11/30/1985_24:00,6
1985.0,12.0,212.798,1985-12-31,12/31/1985_24:00,6
1986.0,1.0,214.79333333333332,1986-01-31,01/31/1986_24:00,6
,,213.73784313725488,1986-02-28,02/28/1986_24:00,6
,,212.68235294117648,1986-03-31,03/31/1986_24:00,6
,,211.62686274509804,1986-04-30,04/30/1986_24:00,6
,,210.5713725490196,1986-05-31,05/31/1986_24:00,6
,,209.51588235294116,1986-06-30,06/30/1986_24:00,6
,,208.46039215686275,1986-07-31,07/31/1986_24:00,6
,,207.40490196078431,1986-08-31,08/31/1986_24:00,6
,,206.34941176470588,1986-09-30,09/30/1986_24:00,6
,,205.29392156862747,1986-10-31,10/31/1986_24:00,6
,,204.23843137254903,1986-11-30,11/30/1986_24:00,6
,,203.1829411764706,1986-12-31,12/31/1986_24:00,6
,,202.12745098039218,1987-01-31,01/31/1987_24:00,6
,,201.07196078431375,1987-02-28,02/28/1987_24:00,6
,,200.0164705882353,1987-03-31,03/31/1987_24:00,6
,,198.96098039215687,1987-04-30,04/30/1987_24:00,6
,,197.90549019607846,1987-05-31,05/31/1987_24:00,6
1987.0,6.0,196.85000000000002,1987-06-30,06/30/1987_24:00,6
1987.0,7.0,193.1875,1987-07-31,07/31/1987_24:00,6
1987.0,8.0,187.726,1987-08-31,08/31/1987_24:00,6
1987.0,9.0,182.92,1987-09-30,09/30/1987_24:00,6
1987.0,10.0,179.0525,1987-10-31,10/31/1987_24:00,6
1987.0,11.0,177.398,1987-11-30,11/30/1987_24:00,6
1987.0,12.0,175.9425,1987-12-31,12/31/1987_24:00,6
1988.0,1.0,176.32,1988-01-31,01/31/1988_24:00,6
1988.0,2.0,178.676,1988-02-29,02/29/1988_24:00,6
1988.0,3.0,177.17777777777778,1988-03-31,03/31/1988_24:00,6
