Year,Month,VALUE,Datetime_EOM,C2VSim_Date,Sensor
1985,1,216.35399999999998,1985-01-31,01/31/1985_24:00,6
1985,2,215.715,1985-02-28,02/28/1985_24:00,6
1985,3,216.506,1985-03-31,03/31/1985_24:00,6
1985,4,221.718,1985-04-30,04/30/1985_24:00,6
1985,5,221.29666666666665,1985-05-31,05/31/1985_24:00,6
1985,6,218.185,1985-06-30,06/30/1985_24:00,6
1985,7,214.564,1985-07-31,07/31/1985_24:00,6
1985,8,210.5925,1985-08-31,08/31/1985_24:00,6
1985,9,208.29500000000002,1985-09-30,09/30/1985_24:00,6
1985,10,208.834,1985-10-31,10/31/1985_24:00,6
1985,11,210.3925,1985-11-30,11/30/1985_24:00,6
1985,12,212.798,1985-12-31,12/31/1985_24:00,6
1986,1,214.79333333333332,1986-01-31,01/31/1986_24:00,6
1987,6,196.85000000000002,1987-06-30,06/30/1987_24:00,6
1987,7,193.1875,1987-07-31,07/31/1987_24:00,6
1987,8,187.726,1987-08-31,08/31/1987_24:00,6
1987,9,182.92,1987-09-30,09/30/1987_24:00,6
1987,10,179.0525,1987-10-31,10/31/1987_24:00,6
1987,11,177.398,1987-11-30,11/30/1987_24:00,6
1987,12,175.9425,1987-12-31,12/31/1987_24:00,6
1988,1,176.32,1988-01-31,01/31/1988_24:00,6
1988,2,178.676,1988-02-29,02/29/1988_24:00,6
1988,3,177.17777777777778,1988-03-31,03/31/1988_24:00,6
1988,4,173.45000000000002,1988-04-30,04/30/1988_24:00,6
1988,5,170.016,1988-05-31,05/31/1988_24:00,6
1988,6,164.94333333333336,1988-06-30,06/30/1988_24:00,6
1989,4,165.16,1989-04-30,04/30/1989_24:00,6
1989,5,176.265,1989-05-31,05/31/1989_24:00,6
1989,6,189.005,1989-06-30,06/30/1989_24:00,6
1989,7,189.74666666666667,1989-07-31,07/31/1989_24:00,6
1989,8,187.69,1989-08-31,08/31/1989_24:00,6
1989,9,187.45666666666668,1989-09-30,09/30/1989_24:00,6
1989,10,187.6175,1989-10-31,10/31/1989_24:00,6
1989,11,190.1475,1989-11-30,11/30/1989_24:00,6
1989,12,192.3025,1989-12-31,12/31/1989_24:00,6
1990,1,196.00125,1990-01-31,01/31/1990_24:00,6
1990,2,196.92666666666665,1990-02-28,02/28/1990_24:00,6
1990,3,199.31272727272727,1990-03-31,03/31/1990_24:00,6
1990,4,198.11285714285714,1990-04-30,04/30/1990_24:00,6
1990,5,196.8272727272727,1990-05-31,05/31/1990_24:00,6
1990,6,196.54947368421054,1990-06-30,06/30/1990_24:00,6
1990,7,195.90944444444443,1990-07-31,07/31/1990_24:00,6
1990,8,194.29380952380953,1990-08-31,08/31/1990_24:00,6
1990,9,193.595,1990-09-30,09/30/1990_24:00,6
1990,10,193.78941176470587,1990-10-31,10/31/1990_24:00,6
1990,11,191.22125,1990-11-30,11/30/1990_24:00,6
1990,12,189.41368421052633,1990-12-31,12/31/1990_24:00,6
1991,1,187.91649999999998,1991-01-31,01/31/1991_24:00,6
1991,2,186.6041176470588,1991-02-28,02/28/1991_24:00,6
