STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,Datetime
MDO,M,15,STORAGE,19560101 0000,19560131 0000,16630.0,,AF,1956-01-01
MDO,M,15,STORAGE,19560201 0000,19560229 0000,14600.0,,AF,1956-02-01
MDO,M,15,STORAGE,19560301 0000,19560331 0000,17780.0,,AF,1956-03-01
MDO,M,15,STORAGE,19560401 0000,19560430 0000,23350.0,,AF,1956-04-01
MDO,M,15,STORAGE,19560901 0000,19560930 0000,13300.0,,AF,1956-09-01
MDO,M,15,STORAGE,19570101 0000,19570131 0000,13970.0,,AF,1957-01-01
MDO,M,15,STORAGE,19570201 0000,19570301 0000,15760.0,,AF,1957-02-01
MDO,M,15,STORAGE,19570301 0000,19570331 0000,19820.0,,AF,1957-03-01
MDO,M,15,STORAGE,19570401 0000,19570430 0000,26000.0,,AF,1957-04-01
MDO,M,15,STORAGE,19570901 0000,19570930 0000,9570.0,,AF,1957-09-01
MDO,M,15,STORAGE,19571001 0000,19571031 0000,12980.0,,AF,1957-10-01
MDO,M,15,STORAGE,19571101 0000,19571130 0000,16550.0,,AF,1957-11-01
MDO,M,15,STORAGE,19571201 0000,19571231 0000,14430.0,,AF,1957-12-01
MDO,M,15,STORAGE,19580101 0000,19580131 0000,13180.0,,AF,1958-01-01
MDO,M,15,STORAGE,19580201 0000,19580301 0000,12710.0,,AF,1958-02-01
MDO,M,15,STORAGE,19580301 0000,19580331 0000,23000.0,,AF,1958-03-01
MDO,M,15,STORAGE,19580401 0000,19580430 0000,18200.0,,AF,1958-04-01
MDO,M,15,STORAGE,19580901 0000,19580930 0000,11700.0,,AF,1958-09-01
MDO,M,15,STORAGE,19590101 0000,19590131 0000,17360.0,,AF,1959-01-01
MDO,M,15,STORAGE,19590201 0000,19590301 0000,17010.0,,AF,1959-02-01
MDO,M,15,STORAGE,19590301 0000,19590331 0000,18500.0,,AF,1959-03-01
MDO,M,15,STORAGE,19590401 0000,19590430 0000,24800.0,,AF,1959-04-01
MDO,M,15,STORAGE,19590501 0000,19590531 0000,26000.0,,AF,1959-05-01
MDO,M,15,STORAGE,19590901 0000,19590930 0000,8250.0,,AF,1959-09-01
MDO,M,15,STORAGE,19600101 0000,19600131 0000,15260.0,,AF,1960-01-01
MDO,M,15,STORAGE,19600201 0000,19600229 0000,13680.0,,AF,1960-02-01
MDO,M,15,STORAGE,19600301 0000,19600331 0000,13000.0,,AF,1960-03-01
MDO,M,15,STORAGE,19600501 0000,19600531 0000,19600.0,,AF,1960-05-01
MDO,M,15,STORAGE,19600601 0000,19600630 0000,15400.0,,AF,1960-06-01
MDO,M,15,STORAGE,19600701 0000,19600731 0000,10600.0,,AF,1960-07-01
MDO,M,15,STORAGE,19600801 0000,19600831 0000,5350.0,,AF,1960-08-01
MDO,M,15,STORAGE,19601001 0000,19601031 0000,11500.0,,AF,1960-10-01
MDO,M,15,STORAGE,19601201 0000,19601231 0000,17500.0,,AF,1960-12-01
MDO,M,15,STORAGE,19610101 0000,19610131 0000,15700.0,,AF,1961-01-01
MDO,M,15,STORAGE,19610201 0000,19610301 0000,13900.0,,AF,1961-02-01
MDO,M,15,STORAGE,19610301 0000,19610331 0000,15000.0,,AF,1961-03-01
MDO,M,15,STORAGE,19610401 0000,19610430 0000,19700.0,,AF,1961-04-01
MDO,M,15,STORAGE,19610901 0000,19610930 0000,8800.0,,AF,1961-09-01
MDO,M,15,STORAGE,19611001 0000,19611031 0000,14800.0,,AF,1961-10-01
MDO,M,15,STORAGE,19611101 0000,19611130 0000,17600.0,,AF,1961-11-01
MDO,M,15,STORAGE,19611201 0000,19611231 0000,16700.0,,AF,1961-12-01
MDO,M,15,STORAGE,19620101 0000,19620131 0000,16250.0,,AF,1962-01-01
MDO,M,15,STORAGE,19620201 0000,19620301 0000,15800.0,,AF,1962-02-01
MDO,M,15,STORAGE,19620301 0000,19620331 0000,19000.0,,AF,1962-03-01
MDO,M,15,STORAGE,19620401 0000,19620430 0000,23600.0,,AF,1962-04-01
MDO,M,15,STORAGE,19620501 0000,19620531 0000,25400.0,,AF,1962-05-01
MDO,M,15,STORAGE,19620601 0000,19620630 0000,20100.0,,AF,1962-06-01
MDO,M,15,STORAGE,19620901 0000,19620930 0000,7410.0,,AF,1962-09-01
MDO,M,15,STORAGE,19621001 0000,19621031 0000,14100.0,,AF,1962-10-01
MDO,M,15,STORAGE,19621101 0000,19621130 0000,17700.0,,AF,1962-11-01
MDO,M,15,STORAGE,19621201 0000,19621231 0000,15600.0,,AF,1962-12-01
MDO,M,15,STORAGE,19630101 0000,19630131 0000,14000.0,,AF,1963-01-01
MDO,M,15,STORAGE,19630201 0000,19630301 0000,12960.0,,AF,1963-02-01
MDO,M,15,STORAGE,19630701 0000,19630731 0000,21600.0,,AF,1963-07-01
MDO,M,15,STORAGE,19630801 0000,19630831 0000,12700.0,,AF,1963-08-01
MDO,M,15,STORAGE,19630901 0000,19630930 0000,14060.0,,AF,1963-09-01
MDO,M,15,STORAGE,19631001 0000,19631031 0000,18600.0,,AF,1963-10-01
