Year,Month,VALUE,Datetime_EOM,C2VSim_Date,Sensor,VALUE_ELEV_x,VALUE_ELEV_y
1956.0,1.0,16630.0,1956-01-31,01/31/1956_24:00,15,,204.41714285714286
1956.0,2.0,14600.0,1956-02-29,02/29/1956_24:00,15,,203.16129032258067
1956.0,3.0,17780.0,1956-03-31,03/31/1956_24:00,15,,205.07428571428574
1956.0,4.0,23350.0,1956-04-30,04/30/1956_24:00,15,,207.975
,,21340.0,1956-05-31,05/31/1956_24:00,15,,206.97
,,19330.0,1956-06-30,06/30/1956_24:00,15,,205.96000000000004
,,17320.0,1956-07-31,07/31/1956_24:00,15,,204.81142857142856
,,15310.0,1956-08-31,08/31/1956_24:00,15,,203.61935483870968
1956.0,9.0,13300.0,1956-09-30,09/30/1956_24:00,15,,202.3225806451613
,,13467.5,1956-10-31,10/31/1956_24:00,15,,202.43064516129033
,,13635.0,1956-11-30,11/30/1956_24:00,15,,202.53870967741935
,,13802.5,1956-12-31,12/31/1956_24:00,15,,202.6467741935484
1957.0,1.0,13970.0,1957-01-31,01/31/1957_24:00,15,,202.75483870967741
1957.0,2.0,15760.0,1957-02-28,02/28/1957_24:00,15,,203.90967741935484
1957.0,3.0,19820.0,1957-03-31,03/31/1957_24:00,15,,206.21
1957.0,4.0,26000.0,1957-04-30,04/30/1957_24:00,15,,209.13043478260872
,,22714.0,1957-05-31,05/31/1957_24:00,15,,207.657
,,19428.0,1957-06-30,06/30/1957_24:00,15,,206.01399999999998
,,16142.0,1957-07-31,07/31/1957_24:00,15,,204.13828571428573
,,12856.0,1957-08-31,08/31/1957_24:00,15,,202.03612903225806
1957.0,9.0,9570.0,1957-09-30,09/30/1957_24:00,15,,199.42727272727274
1957.0,10.0,12980.0,1957-10-31,10/31/1957_24:00,15,,202.11612903225804
1957.0,11.0,16550.0,1957-11-30,11/30/1957_24:00,15,,204.3714285714286
1957.0,12.0,14430.0,1957-12-31,12/31/1957_24:00,15,,203.0516129032258
1958.0,1.0,13180.0,1958-01-31,01/31/1958_24:00,15,,202.24516129032259
1958.0,2.0,12710.0,1958-02-28,02/28/1958_24:00,15,,201.93076923076924
1958.0,3.0,23000.0,1958-03-31,03/31/1958_24:00,15,,207.8
1958.0,4.0,18200.0,1958-04-30,04/30/1958_24:00,15,,205.31428571428572
,,16900.0,1958-05-31,05/31/1958_24:00,15,,204.57142857142858
,,15600.0,1958-06-30,06/30/1958_24:00,15,,203.80645161290323
,,14300.0,1958-07-31,07/31/1958_24:00,15,,202.96774193548387
,,13000.0,1958-08-31,08/31/1958_24:00,15,,202.1290322580645
1958.0,9.0,11700.0,1958-09-30,09/30/1958_24:00,15,,201.15384615384613
,,13115.0,1958-10-31,10/31/1958_24:00,15,,202.20322580645163
,,14530.0,1958-11-30,11/30/1958_24:00,15,,203.11612903225807
,,15945.0,1958-12-31,12/31/1958_24:00,15,,204.0257142857143
1959.0,1.0,17360.0,1959-01-31,01/31/1959_24:00,15,,204.83428571428573
1959.0,2.0,17010.0,1959-02-28,02/28/1959_24:00,15,,204.63428571428574
1959.0,3.0,18500.0,1959-03-31,03/31/1959_24:00,15,,205.4857142857143
1959.0,4.0,24800.0,1959-04-30,04/30/1959_24:00,15,,208.6086956521739
1959.0,5.0,26000.0,1959-05-31,05/31/1959_24:00,15,,209.13043478260872
,,21562.5,1959-06-30,06/30/1959_24:00,15,,207.08125
,,17125.0,1959-07-31,07/31/1959_24:00,15,,204.7
,,12687.5,1959-08-31,08/31/1959_24:00,15,,201.91346153846155
1959.0,9.0,8250.0,1959-09-30,09/30/1959_24:00,15,,198.22727272727272
,,10002.5,1959-10-31,10/31/1959_24:00,15,,199.82045454545457
,,11755.0,1959-11-30,11/30/1959_24:00,15,,201.19615384615383
,,13507.5,1959-12-31,12/31/1959_24:00,15,,202.4564516129032
1960.0,1.0,15260.0,1960-01-31,01/31/1960_24:00,15,,203.58709677419353
1960.0,2.0,13680.0,1960-02-29,02/29/1960_24:00,15,,202.56774193548387
1960.0,3.0,13000.0,1960-03-31,03/31/1960_24:00,15,,202.1290322580645
,,16300.0,1960-04-30,04/30/1960_24:00,15,,204.22857142857146
1960.0,5.0,19600.0,1960-05-31,05/31/1960_24:00,15,,206.10000000000002
1960.0,6.0,15400.0,1960-06-30,06/30/1960_24:00,15,,203.67741935483872
1960.0,7.0,10600.0,1960-07-31,07/31/1960_24:00,15,,200.30769230769232
1960.0,8.0,5350.0,1960-08-31,08/31/1960_24:00,15,,195.05555555555557
,,8425.0,1960-09-30,09/30/1960_24:00,15,,198.38636363636363
1960.0,10.0,11500.0,1960-10-31,10/31/1960_24:00,15,,201.0
,,14500.0,1960-11-30,11/30/1960_24:00,15,,203.09677419354836
1960.0,12.0,17500.0,1960-12-31,12/31/1960_24:00,15,,204.91428571428574
