STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,Datetime
NAT,M,15,STORAGE,19651001 0000,19651001 0000,8410.0,,AF,1965-10-01
NAT,M,15,STORAGE,19651101 0000,19651101 0000,7840.0,,AF,1965-11-01
NAT,M,15,STORAGE,19651201 0000,19651201 0000,8710.0,,AF,1965-12-01
NAT,M,15,STORAGE,19660101 0000,19660131 0000,8560.0,,AF,1966-01-01
NAT,M,15,STORAGE,19660201 0000,19660301 0000,8410.0,,AF,1966-02-01
NAT,M,15,STORAGE,19660301 0000,19660331 0000,7930.0,,AF,1966-03-01
NAT,M,15,STORAGE,19660401 0000,19660430 0000,8870.0,,AF,1966-04-01
NAT,M,15,STORAGE,19660501 0000,19660501 0000,8410.0,,AF,1966-05-01
NAT,M,15,STORAGE,19660601 0000,19660601 0000,8560.0,,AF,1966-06-01
NAT,M,15,STORAGE,19660701 0000,19660701 0000,8210.0,,AF,1966-07-01
NAT,M,15,STORAGE,19660801 0000,19660801 0000,8460.0,,AF,1966-08-01
NAT,M,15,STORAGE,19660901 0000,19660930 0000,8460.0,,AF,1966-09-01
NAT,M,15,STORAGE,19661001 0000,19661031 0000,8760.0,,AF,1966-10-01
NAT,M,15,STORAGE,19661101 0000,19661130 0000,8610.0,,AF,1966-11-01
NAT,M,15,STORAGE,19661201 0000,19661231 0000,8070.0,,AF,1966-12-01
NAT,M,15,STORAGE,19670101 0000,19670131 0000,7980.0,,AF,1967-01-01
NAT,M,15,STORAGE,19670201 0000,19670301 0000,8210.0,,AF,1967-02-01
NAT,M,15,STORAGE,19670301 0000,19670331 0000,8510.0,,AF,1967-03-01
NAT,M,15,STORAGE,19670401 0000,19670430 0000,8870.0,,AF,1967-04-01
NAT,M,15,STORAGE,19670601 0000,19670630 0000,8210.0,,AF,1967-06-01
NAT,M,15,STORAGE,19670701 0000,19670731 0000,8560.0,,AF,1967-07-01
NAT,M,15,STORAGE,19670901 0000,19670930 0000,8610.0,,AF,1967-09-01
NAT,M,15,STORAGE,19671101 0000,19671130 0000,8870.0,,AF,1967-11-01
NAT,M,15,STORAGE,19671201 0000,19671231 0000,8310.0,,AF,1967-12-01
NAT,M,15,STORAGE,19680101 0000,19680131 0000,8760.0,,AF,1968-01-01
NAT,M,15,STORAGE,19680201 0000,19680229 0000,8210.0,,AF,1968-02-01
NAT,M,15,STORAGE,19680301 0000,19680331 0000,8610.0,,AF,1968-03-01
NAT,M,15,STORAGE,19680401 0000,19680430 0000,8870.0,,AF,1968-04-01
NAT,M,15,STORAGE,19680501 0000,19680531 0000,8510.0,,AF,1968-05-01
NAT,M,15,STORAGE,19680601 0000,19680630 0000,8810.0,,AF,1968-06-01
NAT,M,15,STORAGE,19680701 0000,19680731 0000,8560.0,,AF,1968-07-01
NAT,M,15,STORAGE,19680801 0000,19680831 0000,8820.0,,AF,1968-08-01
NAT,M,15,STORAGE,19680901 0000,19680930 0000,8870.0,,AF,1968-09-01
NAT,M,15,STORAGE,19681001 0000,19681031 0000,8510.0,,AF,1968-10-01
NAT,M,15,STORAGE,19681101 0000,19681130 0000,8560.0,,AF,1968-11-01
NAT,M,15,STORAGE,19681201 0000,19681231 0000,8760.0,,AF,1968-12-01
NAT,M,15,STORAGE,19690101 0000,19690131 0000,8260.0,,AF,1969-01-01
NAT,M,15,STORAGE,19690201 0000,19690301 0000,8260.0,,AF,1969-02-01
NAT,M,15,STORAGE,19690301 0000,19690331 0000,8170.0,,AF,1969-03-01
NAT,M,15,STORAGE,19690401 0000,19690430 0000,7840.0,,AF,1969-04-01
NAT,M,15,STORAGE,19690501 0000,19690531 0000,8710.0,,AF,1969-05-01
NAT,M,15,STORAGE,19690601 0000,19690630 0000,8610.0,,AF,1969-06-01
NAT,M,15,STORAGE,19690701 0000,19690731 0000,8710.0,,AF,1969-07-01
NAT,M,15,STORAGE,19690801 0000,19690831 0000,8760.0,,AF,1969-08-01
NAT,M,15,STORAGE,19690901 0000,19690930 0000,8560.0,,AF,1969-09-01
NAT,M,15,STORAGE,19691101 0000,19691130 0000,8870.0,,AF,1969-11-01
NAT,M,15,STORAGE,19691201 0000,19691231 0000,7390.0,,AF,1969-12-01
NAT,M,15,STORAGE,19700101 0000,19700131 0000,8300.0,,AF,1970-01-01
NAT,M,15,STORAGE,19700201 0000,19700301 0000,8560.0,,AF,1970-02-01
NAT,M,15,STORAGE,19700401 0000,19700430 0000,8660.0,,AF,1970-04-01
NAT,M,15,STORAGE,19700501 0000,19700531 0000,8360.0,,AF,1970-05-01
NAT,M,15,STORAGE,19700601 0000,19700630 0000,8660.0,,AF,1970-06-01
NAT,M,15,STORAGE,19700701 0000,19700731 0000,8460.0,,AF,1970-07-01
NAT,M,15,STORAGE,19700801 0000,19700831 0000,8510.0,,AF,1970-08-01
NAT,M,15,STORAGE,19700901 0000,19700930 0000,8820.0,,AF,1970-09-01
NAT,M,15,STORAGE,19701001 0000,19701031 0000,8560.0,,AF,1970-10-01
NAT,M,15,STORAGE,19701101 0000,19701130 0000,8070.0,,AF,1970-11-01
NAT,M,15,STORAGE,19701201 0000,19701231 0000,8610.0,,AF,1970-12-01
NAT,M,15,STORAGE,19710101 0000,19710131 0000,8410.0,,AF,1971-01-01
NAT,M,15,STORAGE,19710201 0000,19710301 0000,8760.0,,AF,1971-02-01
NAT,M,15,STORAGE,19710301 0000,19710331 0000,7390.0,,AF,1971-03-01
NAT,M,15,STORAGE,19710401 0000,19710430 0000,8260.0,,AF,1971-04-01
NAT,M,15,STORAGE,19710501 0000,19710531 0000,8360.0,,AF,1971-05-01
NAT,M,15,STORAGE,19710601 0000,19710630 0000,8710.0,,AF,1971-06-01
NAT,M,15,STORAGE,19710701 0000,19710731 0000,8560.0,,AF,1971-07-01
NAT,M,15,STORAGE,19710801 0000,19710831 0000,8710.0,,AF,1971-08-01
NAT,M,15,STORAGE,19710901 0000,19710930 0000,7220.0,,AF,1971-09-01
NAT,M,15,STORAGE,19711001 0000,19711031 0000,7980.0,,AF,1971-10-01
NAT,M,15,STORAGE,19711101 0000,19711130 0000,7840.0,,AF,1971-11-01
NAT,M,15,STORAGE,19720101 0000,19720131 0000,7930.0,,AF,1972-01-01
NAT,M,15,STORAGE,19720201 0000,19720229 0000,7880.0,,AF,1972-02-01
NAT,M,15,STORAGE,19720501 0000,19720531 0000,8260.0,,AF,1972-05-01
NAT,M,15,STORAGE,19720601 0000,19720630 0000,8360.0,,AF,1972-06-01
NAT,M,15,STORAGE,19720701 0000,19720731 0000,8170.0,,AF,1972-07-01
NAT,M,15,STORAGE,19720801 0000,19720831 0000,8560.0,,AF,1972-08-01
NAT,M,15,STORAGE,19720901 0000,19720930 0000,8660.0,,AF,1972-09-01
NAT,M,15,STORAGE,19721001 0000,19721031 0000,8610.0,,AF,1972-10-01
NAT,M,15,STORAGE,19721101 0000,19721130 0000,7750.0,,AF,1972-11-01
NAT,M,15,STORAGE,19721201 0000,19721231 0000,7520.0,,AF,1972-12-01
NAT,M,15,STORAGE,19730101 0000,19730131 0000,8030.0,,AF,1973-01-01
NAT,M,15,STORAGE,19730201 0000,19730301 0000,8810.0,,AF,1973-02-01
NAT,M,15,STORAGE,19730301 0000,19730331 0000,7700.0,,AF,1973-03-01
NAT,M,15,STORAGE,19730401 0000,19730430 0000,8610.0,,AF,1973-04-01
NAT,M,15,STORAGE,19730501 0000,19730531 0000,8260.0,,AF,1973-05-01
NAT,M,15,STORAGE,19730601 0000,19730630 0000,8410.0,,AF,1973-06-01
NAT,M,15,STORAGE,19730701 0000,19730731 0000,8310.0,,AF,1973-07-01
NAT,M,15,STORAGE,19730801 0000,19730831 0000,8260.0,,AF,1973-08-01
NAT,M,15,STORAGE,19730901 0000,19730930 0000,8360.0,,AF,1973-09-01
NAT,M,15,STORAGE,19731001 0000,19731031 0000,8360.0,,AF,1973-10-01
NAT,M,15,STORAGE,19731101 0000,19731130 0000,8660.0,,AF,1973-11-01
NAT,M,15,STORAGE,19731201 0000,19731231 0000,8610.0,,AF,1973-12-01
NAT,M,15,STORAGE,19740101 0000,19740131 0000,8610.0,,AF,1974-01-01
NAT,M,15,STORAGE,19740201 0000,19740301 0000,8120.0,,AF,1974-02-01
NAT,M,15,STORAGE,19740301 0000,19740331 0000,8260.0,,AF,1974-03-01
NAT,M,15,STORAGE,19740401 0000,19740430 0000,8460.0,,AF,1974-04-01
