Year,Month,VALUE,Datetime_EOM,C2VSim_Date,Sensor
1985,2,123.51666666666667,1985-02-28,02/28/1985_24:00,6
1985,3,123.93181818181819,1985-03-31,03/31/1985_24:00,6
1985,4,123.785,1985-04-30,04/30/1985_24:00,6
1985,5,123.87,1985-05-31,05/31/1985_24:00,6
1985,6,123.92631578947368,1985-06-30,06/30/1985_24:00,6
1985,7,123.96470588235294,1985-07-31,07/31/1985_24:00,6
1985,8,123.55,1985-08-31,08/31/1985_24:00,6
1985,9,124.32941176470588,1985-09-30,09/30/1985_24:00,6
1985,10,123.875,1985-10-31,10/31/1985_24:00,6
1985,11,123.88571428571429,1985-11-30,11/30/1985_24:00,6
1985,12,123.58333333333333,1985-12-31,12/31/1985_24:00,6
1986,1,124.08888888888889,1986-01-31,01/31/1986_24:00,6
1986,3,123.34,1986-03-31,03/31/1986_24:00,6
1987,1,124.04666666666667,1987-01-31,01/31/1987_24:00,6
1987,6,124.35888888888888,1987-06-30,06/30/1987_24:00,6
1987,7,124.35277777777777,1987-07-31,07/31/1987_24:00,6
1987,8,124.06045454545455,1987-08-31,08/31/1987_24:00,6
1987,9,123.87941176470588,1987-09-30,09/30/1987_24:00,6
1987,10,124.40058823529411,1987-10-31,10/31/1987_24:00,6
1987,11,124.21166666666666,1987-11-30,11/30/1987_24:00,6
1987,12,123.99428571428572,1987-12-31,12/31/1987_24:00,6
1988,1,123.71909090909092,1988-01-31,01/31/1988_24:00,6
1988,2,123.36083333333333,1988-02-29,02/29/1988_24:00,6
1988,3,123.9184,1988-03-31,03/31/1988_24:00,6
1988,4,124.04434782608696,1988-04-30,04/30/1988_24:00,6
1988,5,124.00961538461539,1988-05-31,05/31/1988_24:00,6
1988,6,123.75846153846153,1988-06-30,06/30/1988_24:00,6
1988,7,124.0195,1988-07-31,07/31/1988_24:00,6
1988,8,123.87678571428572,1988-08-31,08/31/1988_24:00,6
1988,9,123.61655172413793,1988-09-30,09/30/1988_24:00,6
1988,10,124.18103448275862,1988-10-31,10/31/1988_24:00,6
1988,11,123.84074074074073,1988-11-30,11/30/1988_24:00,6
1988,12,123.44645161290323,1988-12-31,12/31/1988_24:00,6
1989,1,123.11733333333333,1989-01-31,01/31/1989_24:00,6
1989,2,124.1125,1989-02-28,02/28/1989_24:00,6
1989,3,123.31714285714285,1989-03-31,03/31/1989_24:00,6
1989,4,123.60833333333333,1989-04-30,04/30/1989_24:00,6
1989,5,123.77821428571428,1989-05-31,05/31/1989_24:00,6
1989,6,123.89310344827587,1989-06-30,06/30/1989_24:00,6
1989,7,123.8404,1989-07-31,07/31/1989_24:00,6
1989,8,123.78678571428573,1989-08-31,08/31/1989_24:00,6
1989,9,123.92333333333333,1989-09-30,09/30/1989_24:00,6
1989,10,123.71074074074075,1989-10-31,10/31/1989_24:00,6
1989,11,123.67433333333334,1989-11-30,11/30/1989_24:00,6
1989,12,123.3692,1989-12-31,12/31/1989_24:00,6
1990,1,123.38096774193548,1990-01-31,01/31/1990_24:00,6
1990,2,123.45423076923076,1990-02-28,02/28/1990_24:00,6
1990,3,123.508,1990-03-31,03/31/1990_24:00,6
1990,4,123.7937037037037,1990-04-30,04/30/1990_24:00,6
1990,5,123.74225806451612,1990-05-31,05/31/1990_24:00,6
1990,6,123.51814814814814,1990-06-30,06/30/1990_24:00,6
1990,7,124.13,1990-07-31,07/31/1990_24:00,6
1990,8,123.45451612903226,1990-08-31,08/31/1990_24:00,6
1990,9,123.5625,1990-09-30,09/30/1990_24:00,6
1990,10,123.17709677419354,1990-10-31,10/31/1990_24:00,6
1990,11,123.0445,1990-11-30,11/30/1990_24:00,6
1990,12,123.19266666666665,1990-12-31,12/31/1990_24:00,6
1991,1,122.83833333333334,1991-01-31,01/31/1991_24:00,6
1991,2,122.61,1991-02-28,02/28/1991_24:00,6
1991,3,122.70045454545453,1991-03-31,03/31/1991_24:00,6
1991,4,122.4022222222222,1991-04-30,04/30/1991_24:00,6
1991,5,122.85142857142857,1991-05-31,05/31/1991_24:00,6
1991,6,123.5076923076923,1991-06-30,06/30/1991_24:00,6
1991,7,123.6326923076923,1991-07-31,07/31/1991_24:00,6
1991,8,123.4141935483871,1991-08-31,08/31/1991_24:00,6
1991,9,123.18833333333333,1991-09-30,09/30/1991_24:00,6
1991,10,123.7625,1991-10-31,10/31/1991_24:00,6
1991,11,123.43142857142857,1991-11-30,11/30/1991_24:00,6
1991,12,123.45258064516129,1991-12-31,12/31/1991_24:00,6
1992,1,123.28451612903227,1992-01-31,01/31/1992_24:00,6
1992,2,122.99185185185186,1992-02-29,02/29/1992_24:00,6
1992,3,123.11933333333333,1992-03-31,03/31/1992_24:00,6
1992,4,123.11466666666666,1992-04-30,04/30/1992_24:00,6
1992,5,123.18903225806451,1992-05-31,05/31/1992_24:00,6
1992,6,123.153,1992-06-30,06/30/1992_24:00,6
1992,7,123.98645161290322,1992-07-31,07/31/1992_24:00,6
1992,8,123.77448275862069,1992-08-31,08/31/1992_24:00,6
1992,9,122.93499999999999,1992-09-30,09/30/1992_24:00,6
1992,10,123.02551724137932,1992-10-31,10/31/1992_24:00,6
1992,11,122.481,1992-11-30,11/30/1992_24:00,6
1992,12,122.41161290322582,1992-12-31,12/31/1992_24:00,6
1993,1,122.52076923076923,1993-01-31,01/31/1993_24:00,6
1993,2,122.74730769230769,1993-02-28,02/28/1993_24:00,6
1993,3,122.93645161290323,1993-03-31,03/31/1993_24:00,6
