STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,Datetime
TAB,D,6,RES ELE,20080101 0000,20080101 0000,128.73, ,FEET,2008-01-01
TAB,D,6,RES ELE,20080102 0000,20080102 0000,128.11, ,FEET,2008-01-02
TAB,D,6,RES ELE,20080103 0000,20080103 0000,128.05, ,FEET,2008-01-03
TAB,D,6,RES ELE,20080104 0000,20080104 0000,128.12, ,FEET,2008-01-04
TAB,D,6,RES ELE,20080107 0000,20080107 0000,127.92, ,FEET,2008-01-07
TAB,D,6,RES ELE,20080108 0000,20080108 0000,129.17, ,FEET,2008-01-08
TAB,D,6,RES ELE,20080109 0000,20080109 0000,129.34, ,FEET,2008-01-09
TAB,D,6,RES ELE,20080110 0000,20080110 0000,130.1, ,FEET,2008-01-10
TAB,D,6,RES ELE,20080111 0000,20080111 0000,131.1, ,FEET,2008-01-11
TAB,D,6,RES ELE,20080112 0000,20080112 0000,131.63, ,FEET,2008-01-12
TAB,D,6,RES ELE,20080113 0000,20080113 0000,131.96, ,FEET,2008-01-13
TAB,D,6,RES ELE,20080114 0000,20080114 0000,131.87, ,FEET,2008-01-14
TAB,D,6,RES ELE,20080115 0000,20080115 0000,131.62, ,FEET,2008-01-15
TAB,D,6,RES ELE,20080116 0000,20080116 0000,131.19, ,FEET,2008-01-16
TAB,D,6,RES ELE,20080117 0000,20080117 0000,131.02, ,FEET,2008-01-17
TAB,D,6,RES ELE,20080118 0000,20080118 0000,130.77, ,FEET,2008-01-18
TAB,D,6,RES ELE,20080119 0000,20080119 0000,130.31, ,FEET,2008-01-19
TAB,D,6,RES ELE,20080120 0000,20080120 0000,129.82, ,FEET,2008-01-20
TAB,D,6,RES ELE,20080121 0000,20080121 0000,129.32, ,FEET,2008-01-21
TAB,D,6,RES ELE,20080122 0000,20080122 0000,128.83, ,FEET,2008-01-22
TAB,D,6,RES ELE,20080123 0000,20080123 0000,128.34, ,FEET,2008-01-23
TAB,D,6,RES ELE,20080124 0000,20080124 0000,127.83, ,FEET,2008-01-24
TAB,D,6,RES ELE,20080125 0000,20080125 0000,127.62, ,FEET,2008-01-25
TAB,D,6,RES ELE,20080128 0000,20080128 0000,127.61, ,FEET,2008-01-28
TAB,D,6,RES ELE,20080130 0000,20080130 0000,127.93, ,FEET,2008-01-30
TAB,D,6,RES ELE,20080131 0000,20080131 0000,128.95, ,FEET,2008-01-31
TAB,D,6,RES ELE,20080201 0000,20080201 0000,129.83, ,FEET,2008-02-01
TAB,D,6,RES ELE,20080202 0000,20080202 0000,130.47, ,FEET,2008-02-02
TAB,D,6,RES ELE,20080203 0000,20080203 0000,130.97, ,FEET,2008-02-03
TAB,D,6,RES ELE,20080204 0000,20080204 0000,132.03, ,FEET,2008-02-04
TAB,D,6,RES ELE,20080205 0000,20080205 0000,132.49, ,FEET,2008-02-05
TAB,D,6,RES ELE,20080206 0000,20080206 0000,132.83, ,FEET,2008-02-06
TAB,D,6,RES ELE,20080207 0000,20080207 0000,132.78, ,FEET,2008-02-07
TAB,D,6,RES ELE,20080208 0000,20080208 0000,132.49, ,FEET,2008-02-08
TAB,D,6,RES ELE,20080209 0000,20080209 0000,132.41, ,FEET,2008-02-09
TAB,D,6,RES ELE,20080210 0000,20080210 0000,132.45, ,FEET,2008-02-10
TAB,D,6,RES ELE,20080211 0000,20080211 0000,132.43, ,FEET,2008-02-11
TAB,D,6,RES ELE,20080212 0000,20080212 0000,132.77, ,FEET,2008-02-12
TAB,D,6,RES ELE,20080213 0000,20080213 0000,132.57, ,FEET,2008-02-13
TAB,D,6,RES ELE,20080214 0000,20080214 0000,132.23, ,FEET,2008-02-14
TAB,D,6,RES ELE,20080215 0000,20080215 0000,132.15, ,FEET,2008-02-15
TAB,D,6,RES ELE,20080216 0000,20080216 0000,131.8, ,FEET,2008-02-16
TAB,D,6,RES ELE,20080217 0000,20080217 0000,131.49, ,FEET,2008-02-17
TAB,D,6,RES ELE,20080218 0000,20080218 0000,131.22, ,FEET,2008-02-18
TAB,D,6,RES ELE,20080219 0000,20080219 0000,131.33, ,FEET,2008-02-19
TAB,D,6,RES ELE,20080220 0000,20080220 0000,131.1, ,FEET,2008-02-20
TAB,D,6,RES ELE,20080221 0000,20080221 0000,131.18, ,FEET,2008-02-21
TAB,D,6,RES ELE,20080222 0000,20080222 0000,131.75, ,FEET,2008-02-22
TAB,D,6,RES ELE,20080223 0000,20080223 0000,131.96, ,FEET,2008-02-23
TAB,D,6,RES ELE,20080224 0000,20080224 0000,132.31, ,FEET,2008-02-24
TAB,D,6,RES ELE,20080225 0000,20080225 0000,132.37, ,FEET,2008-02-25
TAB,D,6,RES ELE,20080226 0000,20080226 0000,132.73, ,FEET,2008-02-26
TAB,D,6,RES ELE,20080227 0000,20080227 0000,133.48, ,FEET,2008-02-27
TAB,D,6,RES ELE,20080228 0000,20080228 0000,133.62, ,FEET,2008-02-28
TAB,D,6,RES ELE,20080229 0000,20080229 0000,133.43, ,FEET,2008-02-29
TAB,D,6,RES ELE,20080301 0000,20080301 0000,133.38, ,FEET,2008-03-01
TAB,D,6,RES ELE,20080302 0000,20080302 0000,133.44, ,FEET,2008-03-02
TAB,D,6,RES ELE,20080303 0000,20080303 0000,133.18, ,FEET,2008-03-03
TAB,D,6,RES ELE,20080304 0000,20080304 0000,132.85, ,FEET,2008-03-04
TAB,D,6,RES ELE,20080305 0000,20080305 0000,132.6, ,FEET,2008-03-05
TAB,D,6,RES ELE,20080306 0000,20080306 0000,132.4, ,FEET,2008-03-06
TAB,D,6,RES ELE,20080307 0000,20080307 0000,132.34, ,FEET,2008-03-07
TAB,D,6,RES ELE,20080308 0000,20080308 0000,132.61, ,FEET,2008-03-08
TAB,D,6,RES ELE,20080309 0000,20080309 0000,132.42, ,FEET,2008-03-09
TAB,D,6,RES ELE,20080310 0000,20080310 0000,132.24, ,FEET,2008-03-10
TAB,D,6,RES ELE,20080311 0000,20080311 0000,132.14, ,FEET,2008-03-11
TAB,D,6,RES ELE,20080312 0000,20080312 0000,132.21, ,FEET,2008-03-12
TAB,D,6,RES ELE,20080313 0000,20080313 0000,133.12, ,FEET,2008-03-13
TAB,D,6,RES ELE,20080314 0000,20080314 0000,132.99, ,FEET,2008-03-14
TAB,D,6,RES ELE,20080315 0000,20080315 0000,133.3, ,FEET,2008-03-15
TAB,D,6,RES ELE,20080316 0000,20080316 0000,134.08, ,FEET,2008-03-16
TAB,D,6,RES ELE,20080317 0000,20080317 0000,134.24, ,FEET,2008-03-17
