Year,Month,VALUE,Datetime_EOM,C2VSim_Date,Sensor
2008,1,129.51000000000002,2008-01-31,01/31/2008_24:00,6
2008,2,132.09206896551726,2008-02-29,02/29/2008_24:00,6
2008,3,133.2632258064516,2008-03-31,03/31/2008_24:00,6
2008,4,133.03766666666667,2008-04-30,04/30/2008_24:00,6
2008,5,131.98,2008-05-31,05/31/2008_24:00,6
2008,6,130.64583333333334,2008-06-30,06/30/2008_24:00,6
2008,7,132.85096774193548,2008-07-31,07/31/2008_24:00,6
2008,8,133.0025806451613,2008-08-31,08/31/2008_24:00,6
2008,9,132.467,2008-09-30,09/30/2008_24:00,6
2008,10,130.7395,2008-10-31,10/31/2008_24:00,6
2008,11,131.16379310344828,2008-11-30,11/30/2008_24:00,6
2008,12,130.67935483870968,2008-12-31,12/31/2008_24:00,6
2009,1,130.73387096774192,2009-01-31,01/31/2009_24:00,6
2009,2,132.62785714285715,2009-02-28,02/28/2009_24:00,6
2009,3,132.92225806451614,2009-03-31,03/31/2009_24:00,6
2009,4,131.07464285714286,2009-04-30,04/30/2009_24:00,6
2009,5,132.47096774193548,2009-05-31,05/31/2009_24:00,6
2009,6,131.91074074074075,2009-06-30,06/30/2009_24:00,6
2009,7,132.8274193548387,2009-07-31,07/31/2009_24:00,6
2009,8,133.47516129032257,2009-08-31,08/31/2009_24:00,6
2009,9,134.11233333333334,2009-09-30,09/30/2009_24:00,6
2009,10,131.7635483870968,2009-10-31,10/31/2009_24:00,6
2009,11,129.36368421052632,2009-11-30,11/30/2009_24:00,6
2009,12,133.48193548387096,2009-12-31,12/31/2009_24:00,6
2010,1,132.11290322580646,2010-01-31,01/31/2010_24:00,6
2010,2,131.64321428571427,2010-02-28,02/28/2010_24:00,6
2010,3,132.997,2010-03-31,03/31/2010_24:00,6
2010,4,133.84199999999998,2010-04-30,04/30/2010_24:00,6
2010,5,132.48258064516128,2010-05-31,05/31/2010_24:00,6
2010,6,132.26166666666666,2010-06-30,06/30/2010_24:00,6
2010,7,132.3974193548387,2010-07-31,07/31/2010_24:00,6
2010,8,132.74645161290323,2010-08-31,08/31/2010_24:00,6
2010,9,133.52233333333334,2010-09-30,09/30/2010_24:00,6
2010,10,132.48580645161292,2010-10-31,10/31/2010_24:00,6
2010,11,131.49266666666665,2010-11-30,11/30/2010_24:00,6
2010,12,134.58965517241379,2010-12-31,12/31/2010_24:00,6
2011,1,133.09612903225806,2011-01-31,01/31/2011_24:00,6
2011,2,134.2675,2011-02-28,02/28/2011_24:00,6
2011,3,132.2458064516129,2011-03-31,03/31/2011_24:00,6
2011,4,132.75300000000001,2011-04-30,04/30/2011_24:00,6
2011,5,133.29870967741937,2011-05-31,05/31/2011_24:00,6
2011,6,133.05533333333332,2011-06-30,06/30/2011_24:00,6
2011,7,133.64387096774195,2011-07-31,07/31/2011_24:00,6
