STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,Datetime
TLC,M,15,STORAGE,19551001 0000,19551031 0000,4310.0,,AF,1955-10-01
TLC,M,15,STORAGE,19551101 0000,19551130 0000,16300.0,,AF,1955-11-01
TLC,M,15,STORAGE,19551201 0000,19551231 0000,31000.0,,AF,1955-12-01
TLC,M,15,STORAGE,19560101 0000,19560131 0000,32190.0,,AF,1956-01-01
TLC,M,15,STORAGE,19560201 0000,19560229 0000,29800.0,,AF,1956-02-01
TLC,M,15,STORAGE,19560301 0000,19560331 0000,33280.0,,AF,1956-03-01
TLC,M,15,STORAGE,19560401 0000,19560430 0000,40080.0,,AF,1956-04-01
TLC,M,15,STORAGE,19560501 0000,19560531 0000,42330.0,,AF,1956-05-01
TLC,M,15,STORAGE,19560601 0000,19560630 0000,43000.0,,AF,1956-06-01
TLC,M,15,STORAGE,19560801 0000,19560831 0000,31000.0,,AF,1956-08-01
TLC,M,15,STORAGE,19560901 0000,19560930 0000,22780.0,,AF,1956-09-01
TLC,M,15,STORAGE,19561001 0000,19561031 0000,11000.0,,AF,1956-10-01
TLC,M,15,STORAGE,19561101 0000,19561130 0000,29000.0,,AF,1956-11-01
TLC,M,15,STORAGE,19561201 0000,19561231 0000,30000.0,,AF,1956-12-01
TLC,M,15,STORAGE,19570101 0000,19570131 0000,35600.0,,AF,1957-01-01
TLC,M,15,STORAGE,19570201 0000,19570301 0000,42000.0,,AF,1957-02-01
TLC,M,15,STORAGE,19570301 0000,19570331 0000,35500.0,,AF,1957-03-01
TLC,M,15,STORAGE,19570401 0000,19570430 0000,43620.0,,AF,1957-04-01
TLC,M,15,STORAGE,19570601 0000,19570630 0000,37000.0,,AF,1957-06-01
TLC,M,15,STORAGE,19570701 0000,19570731 0000,30840.0,,AF,1957-07-01
TLC,M,15,STORAGE,19570801 0000,19570729 0000,25100.0,,AF,1957-08-01
TLC,M,15,STORAGE,19570901 0000,19570930 0000,23760.0,,AF,1957-09-01
TLC,M,15,STORAGE,19571001 0000,19571031 0000,16300.0,,AF,1957-10-01
TLC,M,15,STORAGE,19571101 0000,19571130 0000,14920.0,,AF,1957-11-01
TLC,M,15,STORAGE,19571201 0000,19571231 0000,13900.0,,AF,1957-12-01
TLC,M,15,STORAGE,19580101 0000,19580131 0000,29000.0,,AF,1958-01-01
TLC,M,15,STORAGE,19580201 0000,19580301 0000,37000.0,,AF,1958-02-01
TLC,M,15,STORAGE,19580301 0000,19580331 0000,37600.0,,AF,1958-03-01
TLC,M,15,STORAGE,19580401 0000,19580430 0000,37900.0,,AF,1958-04-01
TLC,M,15,STORAGE,19580501 0000,19580531 0000,42650.0,,AF,1958-05-01
TLC,M,15,STORAGE,19580701 0000,19580731 0000,33560.0,,AF,1958-07-01
TLC,M,15,STORAGE,19580801 0000,19580831 0000,15270.0,,AF,1958-08-01
TLC,M,15,STORAGE,19580901 0000,19580930 0000,18720.0,,AF,1958-09-01
TLC,M,15,STORAGE,19581001 0000,19581031 0000,29060.0,,AF,1958-10-01
TLC,M,15,STORAGE,19581101 0000,19581130 0000,26710.0,,AF,1958-11-01
TLC,M,15,STORAGE,19581201 0000,19581231 0000,35520.0,,AF,1958-12-01
TLC,M,15,STORAGE,19590101 0000,19590131 0000,34400.0,,AF,1959-01-01
TLC,M,15,STORAGE,19590201 0000,19590301 0000,34960.0,,AF,1959-02-01
TLC,M,15,STORAGE,19590301 0000,19590331 0000,37000.0,,AF,1959-03-01
TLC,M,15,STORAGE,19590401 0000,19590430 0000,42320.0,,AF,1959-04-01
TLC,M,15,STORAGE,19590501 0000,19590531 0000,41360.0,,AF,1959-05-01
TLC,M,15,STORAGE,19590601 0000,19590630 0000,34680.0,,AF,1959-06-01
TLC,M,15,STORAGE,19590701 0000,19590731 0000,13570.0,,AF,1959-07-01
TLC,M,15,STORAGE,19590801 0000,19590831 0000,13740.0,,AF,1959-08-01
TLC,M,15,STORAGE,19590901 0000,19590930 0000,11760.0,,AF,1959-09-01
TLC,M,15,STORAGE,19591001 0000,19591031 0000,20170.0,,AF,1959-10-01
TLC,M,15,STORAGE,19591101 0000,19591130 0000,30050.0,,AF,1959-11-01
TLC,M,15,STORAGE,19591201 0000,19591231 0000,33290.0,,AF,1959-12-01
TLC,M,15,STORAGE,19600101 0000,19600131 0000,31110.0,,AF,1960-01-01
TLC,M,15,STORAGE,19600201 0000,19600229 0000,30540.0,,AF,1960-02-01
TLC,M,15,STORAGE,19600301 0000,19600331 0000,36420.0,,AF,1960-03-01
TLC,M,15,STORAGE,19600401 0000,19600430 0000,37600.0,,AF,1960-04-01
TLC,M,15,STORAGE,19600501 0000,19600531 0000,27820.0,,AF,1960-05-01
TLC,M,15,STORAGE,19600601 0000,19600630 0000,27820.0,,AF,1960-06-01
TLC,M,15,STORAGE,19600701 0000,19600731 0000,19980.0,,AF,1960-07-01
TLC,M,15,STORAGE,19600801 0000,19600831 0000,10650.0,,AF,1960-08-01
TLC,M,15,STORAGE,19600901 0000,19600930 0000,4030.0,,AF,1960-09-01
TLC,M,15,STORAGE,19601001 0000,19601031 0000,14580.0,,AF,1960-10-01
TLC,M,15,STORAGE,19601101 0000,19601130 0000,23360.0,,AF,1960-11-01
TLC,M,15,STORAGE,19601201 0000,19601231 0000,31100.0,,AF,1960-12-01
TLC,M,15,STORAGE,19610101 0000,19610131 0000,37000.0,,AF,1961-01-01
TLC,M,15,STORAGE,19610201 0000,19610301 0000,34680.0,,AF,1961-02-01
TLC,M,15,STORAGE,19610401 0000,19610430 0000,34680.0,,AF,1961-04-01
TLC,M,15,STORAGE,19610501 0000,19610531 0000,33560.0,,AF,1961-05-01
TLC,M,15,STORAGE,19610601 0000,19610630 0000,27820.0,,AF,1961-06-01
TLC,M,15,STORAGE,19610701 0000,19610731 0000,14410.0,,AF,1961-07-01
TLC,M,15,STORAGE,19610801 0000,19610831 0000,7540.0,,AF,1961-08-01
TLC,M,15,STORAGE,19610901 0000,19610930 0000,6240.0,,AF,1961-09-01
TLC,M,15,STORAGE,19611001 0000,19611031 0000,4590.0,,AF,1961-10-01
TLC,M,15,STORAGE,19611201 0000,19611231 0000,11770.0,,AF,1961-12-01
TLC,M,15,STORAGE,19620101 0000,19620131 0000,21270.0,,AF,1962-01-01
TLC,M,15,STORAGE,19620201 0000,19620301 0000,25600.0,,AF,1962-02-01
TLC,M,15,STORAGE,19620301 0000,19620331 0000,30050.0,,AF,1962-03-01
TLC,M,15,STORAGE,19620401 0000,19620430 0000,23760.0,,AF,1962-04-01
TLC,M,15,STORAGE,19620601 0000,19620630 0000,33000.0,,AF,1962-06-01
TLC,M,15,STORAGE,19620701 0000,19620731 0000,18900.0,,AF,1962-07-01
TLC,M,15,STORAGE,19620801 0000,19620831 0000,17150.0,,AF,1962-08-01
TLC,M,15,STORAGE,19620901 0000,19620930 0000,7950.0,,AF,1962-09-01
TLC,M,15,STORAGE,19621001 0000,19621031 0000,15270.0,,AF,1962-10-01
TLC,M,15,STORAGE,19621101 0000,19621130 0000,34960.0,,AF,1962-11-01
TLC,M,15,STORAGE,19621201 0000,19621231 0000,38200.0,,AF,1962-12-01
TLC,M,15,STORAGE,19630101 0000,19630131 0000,38800.0,,AF,1963-01-01
TLC,M,15,STORAGE,19630201 0000,19630301 0000,37900.0,,AF,1963-02-01
TLC,M,15,STORAGE,19630301 0000,19630331 0000,44600.0,,AF,1963-03-01
TLC,M,15,STORAGE,19630601 0000,19630630 0000,44600.0,,AF,1963-06-01
TLC,M,15,STORAGE,19630701 0000,19630731 0000,34120.0,,AF,1963-07-01
TLC,M,15,STORAGE,19630801 0000,19630831 0000,25190.0,,AF,1963-08-01
TLC,M,15,STORAGE,19630901 0000,19630930 0000,11440.0,,AF,1963-09-01
TLC,M,15,STORAGE,19631001 0000,19631031 0000,18720.0,,AF,1963-10-01
TLC,M,15,STORAGE,19631101 0000,19631130 0000,33560.0,,AF,1963-11-01
TLC,M,15,STORAGE,19631201 0000,19631231 0000,32190.0,,AF,1963-12-01
TLC,M,15,STORAGE,19640101 0000,19640131 0000,31380.0,,AF,1964-01-01
TLC,M,15,STORAGE,19640201 0000,19640229 0000,36700.0,,AF,1964-02-01
TLC,M,15,STORAGE,19640301 0000,19640331 0000,28560.0,,AF,1964-03-01
TLC,M,15,STORAGE,19640401 0000,19640430 0000,37000.0,,AF,1964-04-01
TLC,M,15,STORAGE,19640501 0000,19640531 0000,39120.0,,AF,1964-05-01
TLC,M,15,STORAGE,19640601 0000,19640630 0000,28320.0,,AF,1964-06-01
TLC,M,15,STORAGE,19640701 0000,19640731 0000,21830.0,,AF,1964-07-01
TLC,M,15,STORAGE,19640801 0000,19640831 0000,18180.0,,AF,1964-08-01
TLC,M,15,STORAGE,19640901 0000,19640930 0000,17830.0,,AF,1964-09-01
TLC,M,15,STORAGE,19641001 0000,19641031 0000,25400.0,,AF,1964-10-01
TLC,M,15,STORAGE,19641101 0000,19641130 0000,31650.0,,AF,1964-11-01
TLC,M,15,STORAGE,19641201 0000,19641231 0000,35520.0,,AF,1964-12-01
TLC,M,15,STORAGE,19650101 0000,19650131 0000,34960.0,,AF,1965-01-01
TLC,M,15,STORAGE,19650201 0000,19650301 0000,33000.0,,AF,1965-02-01
TLC,M,15,STORAGE,19650301 0000,19650331 0000,37900.0,,AF,1965-03-01
TLC,M,15,STORAGE,19650401 0000,19650430 0000,41040.0,,AF,1965-04-01
TLC,M,15,STORAGE,19650501 0000,19650531 0000,43620.0,,AF,1965-05-01
TLC,M,15,STORAGE,19650701 0000,19650731 0000,29560.0,,AF,1965-07-01
TLC,M,15,STORAGE,19650801 0000,19650831 0000,23760.0,,AF,1965-08-01
TLC,M,15,STORAGE,19650901 0000,19650930 0000,42000.0,,AF,1965-09-01
TLC,M,15,STORAGE,19651001 0000,19651031 0000,31380.0,,AF,1965-10-01
TLC,M,15,STORAGE,19651101 0000,19651130 0000,31920.0,,AF,1965-11-01
TLC,M,15,STORAGE,19651201 0000,19651231 0000,32190.0,,AF,1965-12-01
TLC,M,15,STORAGE,19660101 0000,19660131 0000,31650.0,,AF,1966-01-01
TLC,M,15,STORAGE,19660201 0000,19660301 0000,29800.0,,AF,1966-02-01
TLC,M,15,STORAGE,19660301 0000,19660331 0000,25820.0,,AF,1966-03-01
TLC,M,15,STORAGE,19660401 0000,19660430 0000,34400.0,,AF,1966-04-01
TLC,M,15,STORAGE,19660501 0000,19660531 0000,42980.0,,AF,1966-05-01
TLC,M,15,STORAGE,19660601 0000,19660630 0000,42980.0,,AF,1966-06-01
TLC,M,15,STORAGE,19660701 0000,19660731 0000,15960.0,,AF,1966-07-01
TLC,M,15,STORAGE,19660801 0000,19660831 0000,13240.0,,AF,1966-08-01
TLC,M,15,STORAGE,19660901 0000,19660930 0000,9260.0,,AF,1966-09-01
TLC,M,15,STORAGE,19661001 0000,19661031 0000,11770.0,,AF,1966-10-01
TLC,M,15,STORAGE,19661101 0000,19661130 0000,37000.0,,AF,1966-11-01
TLC,M,15,STORAGE,19661201 0000,19661231 0000,41680.0,,AF,1966-12-01
TLC,M,15,STORAGE,19670101 0000,19670131 0000,41680.0,,AF,1967-01-01
TLC,M,15,STORAGE,19670201 0000,19670301 0000,41040.0,,AF,1967-02-01
TLC,M,15,STORAGE,19670301 0000,19670331 0000,40720.0,,AF,1967-03-01
TLC,M,15,STORAGE,19670401 0000,19670430 0000,44280.0,,AF,1967-04-01
TLC,M,15,STORAGE,19670501 0000,19670531 0000,34120.0,,AF,1967-05-01
TLC,M,15,STORAGE,19670601 0000,19670630 0000,39440.0,,AF,1967-06-01
TLC,M,15,STORAGE,19670701 0000,19670731 0000,36100.0,,AF,1967-07-01
TLC,M,15,STORAGE,19670901 0000,19670930 0000,34400.0,,AF,1967-09-01
TLC,M,15,STORAGE,19671001 0000,19671031 0000,37300.0,,AF,1967-10-01
TLC,M,15,STORAGE,19671101 0000,19671130 0000,33840.0,,AF,1967-11-01
TLC,M,15,STORAGE,19671201 0000,19671231 0000,31110.0,,AF,1967-12-01
TLC,M,15,STORAGE,19680101 0000,19680131 0000,29310.0,,AF,1968-01-01
TLC,M,15,STORAGE,19680201 0000,19680229 0000,40400.0,,AF,1968-02-01
TLC,M,15,STORAGE,19680301 0000,19680331 0000,37300.0,,AF,1968-03-01
