Year,Month,VALUE,Datetime_EOM,C2VSim_Date,Sensor
1956,1,16630.0,1956-01-31,01/31/1956_24:00,15
1956,2,14600.0,1956-02-29,02/29/1956_24:00,15
1956,3,17780.0,1956-03-31,03/31/1956_24:00,15
1956,4,23350.0,1956-04-30,04/30/1956_24:00,15
1956,9,13300.0,1956-09-30,09/30/1956_24:00,15
1957,1,13970.0,1957-01-31,01/31/1957_24:00,15
1957,2,15760.0,1957-02-28,02/28/1957_24:00,15
1957,3,19820.0,1957-03-31,03/31/1957_24:00,15
1957,4,26000.0,1957-04-30,04/30/1957_24:00,15
1957,9,9570.0,1957-09-30,09/30/1957_24:00,15
1957,10,12980.0,1957-10-31,10/31/1957_24:00,15
1957,11,16550.0,1957-11-30,11/30/1957_24:00,15
1957,12,14430.0,1957-12-31,12/31/1957_24:00,15
1958,1,13180.0,1958-01-31,01/31/1958_24:00,15
1958,2,12710.0,1958-02-28,02/28/1958_24:00,15
1958,3,23000.0,1958-03-31,03/31/1958_24:00,15
1958,4,18200.0,1958-04-30,04/30/1958_24:00,15
1958,9,11700.0,1958-09-30,09/30/1958_24:00,15
1959,1,17360.0,1959-01-31,01/31/1959_24:00,15
1959,2,17010.0,1959-02-28,02/28/1959_24:00,15
1959,3,18500.0,1959-03-31,03/31/1959_24:00,15
1959,4,24800.0,1959-04-30,04/30/1959_24:00,15
1959,5,26000.0,1959-05-31,05/31/1959_24:00,15
1959,9,8250.0,1959-09-30,09/30/1959_24:00,15
1960,1,15260.0,1960-01-31,01/31/1960_24:00,15
1960,2,13680.0,1960-02-29,02/29/1960_24:00,15
1960,3,13000.0,1960-03-31,03/31/1960_24:00,15
1960,5,19600.0,1960-05-31,05/31/1960_24:00,15
1960,6,15400.0,1960-06-30,06/30/1960_24:00,15
1960,7,10600.0,1960-07-31,07/31/1960_24:00,15
1960,8,5350.0,1960-08-31,08/31/1960_24:00,15
1960,10,11500.0,1960-10-31,10/31/1960_24:00,15
1960,12,17500.0,1960-12-31,12/31/1960_24:00,15
1961,1,15700.0,1961-01-31,01/31/1961_24:00,15
1961,2,13900.0,1961-02-28,02/28/1961_24:00,15
1961,3,15000.0,1961-03-31,03/31/1961_24:00,15
1961,4,19700.0,1961-04-30,04/30/1961_24:00,15
1961,9,8800.0,1961-09-30,09/30/1961_24:00,15
