Year,Month,VALUE,Datetime_EOM,C2VSim_Date,Sensor
1985,1,444.11,1985-01-31,01/31/1985_24:00,6
1985,2,447.82,1985-02-28,02/28/1985_24:00,6
1985,3,450.218,1985-03-31,03/31/1985_24:00,6
1985,4,455.305,1985-04-30,04/30/1985_24:00,6
1985,5,453.9475,1985-05-31,05/31/1985_24:00,6
1985,6,453.122,1985-06-30,06/30/1985_24:00,6
1985,7,444.52,1985-07-31,07/31/1985_24:00,6
1985,8,444.435,1985-08-31,08/31/1985_24:00,6
1985,9,445.204,1985-09-30,09/30/1985_24:00,6
1985,10,441.145,1985-10-31,10/31/1985_24:00,6
1985,11,438.6875,1985-11-30,11/30/1985_24:00,6
1985,12,439.55285714285714,1985-12-31,12/31/1985_24:00,6
1986,1,442.1925,1986-01-31,01/31/1986_24:00,6
1987,5,451.95,1987-05-31,05/31/1987_24:00,6
1987,6,451.135,1987-06-30,06/30/1987_24:00,6
1987,7,450.25,1987-07-31,07/31/1987_24:00,6
1987,8,446.726,1987-08-31,08/31/1987_24:00,6
1987,9,439.7025,1987-09-30,09/30/1987_24:00,6
1987,10,433.9425,1987-10-31,10/31/1987_24:00,6
1987,11,431.86400000000003,1987-11-30,11/30/1987_24:00,6
1987,12,440.34499999999997,1987-12-31,12/31/1987_24:00,6
1988,1,441.1175,1988-01-31,01/31/1988_24:00,6
1988,2,444.552,1988-02-29,02/29/1988_24:00,6
1988,3,448.52,1988-03-31,03/31/1988_24:00,6
1988,4,446.7925,1988-04-30,04/30/1988_24:00,6
1988,5,448.2255555555555,1988-05-31,05/31/1988_24:00,6
1988,6,447.6675,1988-06-30,06/30/1988_24:00,6
1988,7,445.83,1988-07-31,07/31/1988_24:00,6
1988,8,444.2808333333333,1988-08-31,08/31/1988_24:00,6
1988,9,441.5227586206897,1988-09-30,09/30/1988_24:00,6
1988,10,435.55909090909086,1988-10-31,10/31/1988_24:00,6
1988,11,433.77,1988-11-30,11/30/1988_24:00,6
1988,12,437.08884615384613,1988-12-31,12/31/1988_24:00,6
1989,1,439.1034782608695,1989-01-31,01/31/1989_24:00,6
1989,2,442.74095238095236,1989-02-28,02/28/1989_24:00,6
1989,3,453.28,1989-03-31,03/31/1989_24:00,6
1989,4,466.158,1989-04-30,04/30/1989_24:00,6
1989,5,466.1675,1989-05-31,05/31/1989_24:00,6
1989,6,463.29499999999996,1989-06-30,06/30/1989_24:00,6
1989,7,458.4811111111111,1989-07-31,07/31/1989_24:00,6
1989,8,453.33714285714285,1989-08-31,08/31/1989_24:00,6
1989,9,446.49111111111114,1989-09-30,09/30/1989_24:00,6
1989,10,440.151,1989-10-31,10/31/1989_24:00,6
1989,11,437.1573076923077,1989-11-30,11/30/1989_24:00,6
1989,12,435.96642857142854,1989-12-31,12/31/1989_24:00,6
1990,1,438.14,1990-01-31,01/31/1990_24:00,6
1990,2,441.27444444444444,1990-02-28,02/28/1990_24:00,6
1990,3,444.7293103448276,1990-03-31,03/31/1990_24:00,6
1990,4,445.70551724137937,1990-04-30,04/30/1990_24:00,6
1990,5,445.79967741935485,1990-05-31,05/31/1990_24:00,6
1990,6,447.35814814814813,1990-06-30,06/30/1990_24:00,6
1990,7,445.4193333333333,1990-07-31,07/31/1990_24:00,6
1990,8,443.653,1990-08-31,08/31/1990_24:00,6
1990,9,437.92275862068965,1990-09-30,09/30/1990_24:00,6
1990,10,430.2707142857143,1990-10-31,10/31/1990_24:00,6
1990,11,429.59230769230766,1990-11-30,11/30/1990_24:00,6
1990,12,429.37958333333336,1990-12-31,12/31/1990_24:00,6
1991,1,429.13296296296295,1991-01-31,01/31/1991_24:00,6
1991,2,429.444,1991-02-28,02/28/1991_24:00,6
1991,3,440.8845454545454,1991-03-31,03/31/1991_24:00,6
1991,4,455.1537037037037,1991-04-30,04/30/1991_24:00,6
1991,5,458.8920689655173,1991-05-31,05/31/1991_24:00,6
1991,6,458.4296428571429,1991-06-30,06/30/1991_24:00,6
1991,7,457.0470833333334,1991-07-31,07/31/1991_24:00,6
1991,8,452.4363333333333,1991-08-31,08/31/1991_24:00,6
1991,9,445.3873333333333,1991-09-30,09/30/1991_24:00,6
1991,10,438.3996296296296,1991-10-31,10/31/1991_24:00,6
1991,11,434.9866666666666,1991-11-30,11/30/1991_24:00,6
1991,12,435.20344827586206,1991-12-31,12/31/1991_24:00,6
1992,1,437.27464285714285,1992-01-31,01/31/1992_24:00,6
1992,2,445.8704,1992-02-29,02/29/1992_24:00,6
1992,3,462.6467857142857,1992-03-31,03/31/1992_24:00,6
1992,4,468.5003571428571,1992-04-30,04/30/1992_24:00,6
1992,5,468.3987096774194,1992-05-31,05/31/1992_24:00,6
1992,6,467.2421428571429,1992-06-30,06/30/1992_24:00,6
1992,7,466.3006896551724,1992-07-31,07/31/1992_24:00,6
1992,8,459.2271428571429,1992-08-31,08/31/1992_24:00,6
1992,9,449.8344,1992-09-30,09/30/1992_24:00,6
1992,10,444.42413793103447,1992-10-31,10/31/1992_24:00,6
1992,11,442.8573076923077,1992-11-30,11/30/1992_24:00,6
1992,12,441.3107142857143,1992-12-31,12/31/1992_24:00,6
1993,1,438.5385185185186,1993-01-31,01/31/1993_24:00,6
1993,2,449.64809523809527,1993-02-28,02/28/1993_24:00,6
1993,3,461.8357692307692,1993-03-31,03/31/1993_24:00,6
1993,4,471.24357142857144,1993-04-30,04/30/1993_24:00,6
1993,5,471.67105263157896,1993-05-31,05/31/1993_24:00,6
1993,6,471.27272727272725,1993-06-30,06/30/1993_24:00,6
1993,7,469.6406666666666,1993-07-31,07/31/1993_24:00,6
1993,8,462.6374193548387,1993-08-31,08/31/1993_24:00,6
1993,9,450.9432142857143,1993-09-30,09/30/1993_24:00,6
1993,10,446.8778571428571,1993-10-31,10/31/1993_24:00,6
1993,11,442.2421428571429,1993-11-30,11/30/1993_24:00,6
1993,12,439.8016666666666,1993-12-31,12/31/1993_24:00,6
1994,1,440.9381481481482,1994-01-31,01/31/1994_24:00,6
1994,2,446.95208333333335,1994-02-28,02/28/1994_24:00,6
1994,3,453.3551612903226,1994-03-31,03/31/1994_24:00,6
1994,4,448.9408,1994-04-30,04/30/1994_24:00,6
1994,5,446.6503333333333,1994-05-31,05/31/1994_24:00,6
1994,6,445.61551724137934,1994-06-30,06/30/1994_24:00,6
1994,7,443.2707142857143,1994-07-31,07/31/1994_24:00,6
1994,8,440.99074074074076,1994-08-31,08/31/1994_24:00,6
1994,9,437.7832142857143,1994-09-30,09/30/1994_24:00,6
1994,10,431.2136842105263,1994-10-31,10/31/1994_24:00,6
1994,11,433.66,1994-11-30,11/30/1994_24:00,6
1994,12,428.8425,1994-12-31,12/31/1994_24:00,6
1995,1,448.0293103448276,1995-01-31,01/31/1995_24:00,6
1995,2,440.65769230769234,1995-02-28,02/28/1995_24:00,6
1995,3,457.41222222222217,1995-03-31,03/31/1995_24:00,6
1995,4,466.1867857142857,1995-04-30,04/30/1995_24:00,6
1995,5,471.215,1995-05-31,05/31/1995_24:00,6
1995,6,469.44733333333335,1995-06-30,06/30/1995_24:00,6
1995,7,467.14827586206894,1995-07-31,07/31/1995_24:00,6
1995,8,459.64233333333334,1995-08-31,08/31/1995_24:00,6
1995,9,454.2312,1995-09-30,09/30/1995_24:00,6
1995,10,447.6479166666666,1995-10-31,10/31/1995_24:00,6
1995,11,438.27863636363634,1995-11-30,11/30/1995_24:00,6
1995,12,438.36652173913046,1995-12-31,12/31/1995_24:00,6
1996,1,443.5126666666667,1996-01-31,01/31/1996_24:00,6
1996,2,449.2151851851852,1996-02-29,02/29/1996_24:00,6
1996,3,456.17466666666667,1996-03-31,03/31/1996_24:00,6
