STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,Datetime
CMN,D,6,RES ELE,19850102 0000,19850102 0000,216.46,,FEET,1985-01-02
CMN,D,6,RES ELE,19850103 0000,19850103 0000,---,,FEET,1985-01-03
CMN,D,6,RES ELE,19850104 0000,19850104 0000,---,,FEET,1985-01-04
CMN,D,6,RES ELE,19850105 0000,19850105 0000,---,,FEET,1985-01-05
CMN,D,6,RES ELE,19850106 0000,19850106 0000,---,,FEET,1985-01-06
CMN,D,6,RES ELE,19850107 0000,19850107 0000,---,,FEET,1985-01-07
CMN,D,6,RES ELE,19850108 0000,19850108 0000,216.45,,FEET,1985-01-08
CMN,D,6,RES ELE,19850109 0000,19850109 0000,---,,FEET,1985-01-09
CMN,D,6,RES ELE,19850110 0000,19850110 0000,---,,FEET,1985-01-10
CMN,D,6,RES ELE,19850111 0000,19850111 0000,---,,FEET,1985-01-11
CMN,D,6,RES ELE,19850112 0000,19850112 0000,---,,FEET,1985-01-12
CMN,D,6,RES ELE,19850113 0000,19850113 0000,---,,FEET,1985-01-13
CMN,D,6,RES ELE,19850114 0000,19850114 0000,---,,FEET,1985-01-14
CMN,D,6,RES ELE,19850115 0000,19850115 0000,216.36,,FEET,1985-01-15
CMN,D,6,RES ELE,19850116 0000,19850116 0000,---,,FEET,1985-01-16
CMN,D,6,RES ELE,19850117 0000,19850117 0000,---,,FEET,1985-01-17
CMN,D,6,RES ELE,19850118 0000,19850118 0000,---,,FEET,1985-01-18
CMN,D,6,RES ELE,19850119 0000,19850119 0000,---,,FEET,1985-01-19
CMN,D,6,RES ELE,19850120 0000,19850120 0000,---,,FEET,1985-01-20
CMN,D,6,RES ELE,19850121 0000,19850121 0000,---,,FEET,1985-01-21
CMN,D,6,RES ELE,19850122 0000,19850122 0000,216.29,,FEET,1985-01-22
CMN,D,6,RES ELE,19850123 0000,19850123 0000,---,,FEET,1985-01-23
CMN,D,6,RES ELE,19850124 0000,19850124 0000,---,,FEET,1985-01-24
