Year,Month,VALUE,Datetime_EOM,C2VSim_Date,Sensor,VALUE_ELEV_x,VALUE_ELEV_y
1965.0,10.0,8410.0,1965-10-31,10/31/1965_24:00,15,,124.21491658488713
1965.0,11.0,7840.0,1965-11-30,11/30/1965_24:00,15,,123.09617271835131
1965.0,12.0,8710.0,1965-12-31,12/31/1965_24:00,15,,124.80372914622177
1966.0,1.0,8560.0,1966-01-31,01/31/1966_24:00,15,,124.50932286555445
1966.0,2.0,8410.0,1966-02-28,02/28/1966_24:00,15,,124.21491658488713
1966.0,3.0,7930.0,1966-03-31,03/31/1966_24:00,15,,123.27281648675171
1966.0,4.0,8870.0,1966-04-30,04/30/1966_24:00,15,,125.00000000000001
1966.0,5.0,8410.0,1966-05-31,05/31/1966_24:00,15,,124.21491658488713
1966.0,6.0,8560.0,1966-06-30,06/30/1966_24:00,15,,124.50932286555445
1966.0,7.0,8210.0,1966-07-31,07/31/1966_24:00,15,,123.82237487733072
1966.0,8.0,8460.0,1966-08-31,08/31/1966_24:00,15,,124.31305201177625
1966.0,9.0,8460.0,1966-09-30,09/30/1966_24:00,15,,124.31305201177625
1966.0,10.0,8760.0,1966-10-31,10/31/1966_24:00,15,,124.90186457311088
1966.0,11.0,8610.0,1966-11-30,11/30/1966_24:00,15,,124.60745829244357
1966.0,12.0,8070.0,1966-12-31,12/31/1966_24:00,15,,123.54759568204122
1967.0,1.0,7980.0,1967-01-31,01/31/1967_24:00,15,,123.37095191364082
1967.0,2.0,8210.0,1967-02-28,02/28/1967_24:00,15,,123.82237487733072
1967.0,3.0,8510.0,1967-03-31,03/31/1967_24:00,15,,124.41118743866535
1967.0,4.0,8870.0,1967-04-30,04/30/1967_24:00,15,,125.00000000000001
,,8540.0,1967-05-31,05/31/1967_24:00,15,,124.47006869479881
1967.0,6.0,8210.0,1967-06-30,06/30/1967_24:00,15,,123.82237487733072
1967.0,7.0,8560.0,1967-07-31,07/31/1967_24:00,15,,124.50932286555445
,,8585.0,1967-08-31,08/31/1967_24:00,15,,124.55839057899901
1967.0,9.0,8610.0,1967-09-30,09/30/1967_24:00,15,,124.60745829244357
,,8740.0,1967-10-31,10/31/1967_24:00,15,,124.86261040235523
1967.0,11.0,8870.0,1967-11-30,11/30/1967_24:00,15,,125.00000000000001
1967.0,12.0,8310.0,1967-12-31,12/31/1967_24:00,15,,124.01864573110893
1968.0,1.0,8760.0,1968-01-31,01/31/1968_24:00,15,,124.90186457311088
1968.0,2.0,8210.0,1968-02-29,02/29/1968_24:00,15,,123.82237487733072
1968.0,3.0,8610.0,1968-03-31,03/31/1968_24:00,15,,124.60745829244357
1968.0,4.0,8870.0,1968-04-30,04/30/1968_24:00,15,,125.00000000000001
1968.0,5.0,8510.0,1968-05-31,05/31/1968_24:00,15,,124.41118743866535
1968.0,6.0,8810.0,1968-06-30,06/30/1968_24:00,15,,125.0
1968.0,7.0,8560.0,1968-07-31,07/31/1968_24:00,15,,124.50932286555445
1968.0,8.0,8820.0,1968-08-31,08/31/1968_24:00,15,,125.00000000000001
1968.0,9.0,8870.0,1968-09-30,09/30/1968_24:00,15,,125.00000000000001
1968.0,10.0,8510.0,1968-10-31,10/31/1968_24:00,15,,124.41118743866535
1968.0,11.0,8560.0,1968-11-30,11/30/1968_24:00,15,,124.50932286555445
1968.0,12.0,8760.0,1968-12-31,12/31/1968_24:00,15,,124.90186457311088
1969.0,1.0,8260.0,1969-01-31,01/31/1969_24:00,15,,123.92051030421982
1969.0,2.0,8260.0,1969-02-28,02/28/1969_24:00,15,,123.92051030421982
1969.0,3.0,8170.0,1969-03-31,03/31/1969_24:00,15,,123.74386653581942
1969.0,4.0,7840.0,1969-04-30,04/30/1969_24:00,15,,123.09617271835131
1969.0,5.0,8710.0,1969-05-31,05/31/1969_24:00,15,,124.80372914622177
1969.0,6.0,8610.0,1969-06-30,06/30/1969_24:00,15,,124.60745829244357
1969.0,7.0,8710.0,1969-07-31,07/31/1969_24:00,15,,124.80372914622177
1969.0,8.0,8760.0,1969-08-31,08/31/1969_24:00,15,,124.90186457311088
1969.0,9.0,8560.0,1969-09-30,09/30/1969_24:00,15,,124.50932286555445
,,8715.0,1969-10-31,10/31/1969_24:00,15,,124.81354268891069
1969.0,11.0,8870.0,1969-11-30,11/30/1969_24:00,15,,125.00000000000001
1969.0,12.0,7390.0,1969-12-31,12/31/1969_24:00,15,,122.07816091954024
1970.0,1.0,8300.0,1970-01-31,01/31/1970_24:00,15,,123.9990186457311
1970.0,2.0,8560.0,1970-02-28,02/28/1970_24:00,15,,124.50932286555445
,,8610.0,1970-03-31,03/31/1970_24:00,15,,124.60745829244357
1970.0,4.0,8660.0,1970-04-30,04/30/1970_24:00,15,,124.70559371933265
1970.0,5.0,8360.0,1970-05-31,05/31/1970_24:00,15,,124.11678115799802
1970.0,6.0,8660.0,1970-06-30,06/30/1970_24:00,15,,124.70559371933265
1970.0,7.0,8460.0,1970-07-31,07/31/1970_24:00,15,,124.31305201177625
1970.0,8.0,8510.0,1970-08-31,08/31/1970_24:00,15,,124.41118743866535
1970.0,9.0,8820.0,1970-09-30,09/30/1970_24:00,15,,125.00000000000001
1970.0,10.0,8560.0,1970-10-31,10/31/1970_24:00,15,,124.50932286555445
1970.0,11.0,8070.0,1970-11-30,11/30/1970_24:00,15,,123.54759568204122
1970.0,12.0,8610.0,1970-12-31,12/31/1970_24:00,15,,124.60745829244357
1971.0,1.0,8410.0,1971-01-31,01/31/1971_24:00,15,,124.21491658488713
1971.0,2.0,8760.0,1971-02-28,02/28/1971_24:00,15,,124.90186457311088
1971.0,3.0,7390.0,1971-03-31,03/31/1971_24:00,15,,122.07816091954024
1971.0,4.0,8260.0,1971-04-30,04/30/1971_24:00,15,,123.92051030421982
1971.0,5.0,8360.0,1971-05-31,05/31/1971_24:00,15,,124.11678115799802
1971.0,6.0,8710.0,1971-06-30,06/30/1971_24:00,15,,124.80372914622177
1971.0,7.0,8560.0,1971-07-31,07/31/1971_24:00,15,,124.50932286555445
1971.0,8.0,8710.0,1971-08-31,08/31/1971_24:00,15,,124.80372914622177
1971.0,9.0,7220.0,1971-09-30,09/30/1971_24:00,15,,121.68735632183908
1971.0,10.0,7980.0,1971-10-31,10/31/1971_24:00,15,,123.37095191364082
1971.0,11.0,7840.0,1971-11-30,11/30/1971_24:00,15,,123.09617271835131
,,7885.0,1971-12-31,12/31/1971_24:00,15,,123.1844946025515
1972.0,1.0,7930.0,1972-01-31,01/31/1972_24:00,15,,123.27281648675171
1972.0,2.0,7880.0,1972-02-29,02/29/1972_24:00,15,,123.1746810598626
,,8006.666666666667,1972-03-31,03/31/1972_24:00,15,,123.42329080798166
,,8133.333333333333,1972-04-30,04/30/1972_24:00,15,,123.67190055610075
1972.0,5.0,8260.0,1972-05-31,05/31/1972_24:00,15,,123.92051030421982
1972.0,6.0,8360.0,1972-06-30,06/30/1972_24:00,15,,124.11678115799802
1972.0,7.0,8170.0,1972-07-31,07/31/1972_24:00,15,,123.74386653581942
1972.0,8.0,8560.0,1972-08-31,08/31/1972_24:00,15,,124.50932286555445
1972.0,9.0,8660.0,1972-09-30,09/30/1972_24:00,15,,124.70559371933265
1972.0,10.0,8610.0,1972-10-31,10/31/1972_24:00,15,,124.60745829244357
1972.0,11.0,7750.0,1972-11-30,11/30/1972_24:00,15,,122.90574712643678
1972.0,12.0,7520.0,1972-12-31,12/31/1972_24:00,15,,122.37701149425287
1973.0,1.0,8030.0,1973-01-31,01/31/1973_24:00,15,,123.46908734052992
1973.0,2.0,8810.0,1973-02-28,02/28/1973_24:00,15,,125.0
1973.0,3.0,7700.0,1973-03-31,03/31/1973_24:00,15,,122.79080459770114
1973.0,4.0,8610.0,1973-04-30,04/30/1973_24:00,15,,124.60745829244357
1973.0,5.0,8260.0,1973-05-31,05/31/1973_24:00,15,,123.92051030421982
1973.0,6.0,8410.0,1973-06-30,06/30/1973_24:00,15,,124.21491658488713
1973.0,7.0,8310.0,1973-07-31,07/31/1973_24:00,15,,124.01864573110893
1973.0,8.0,8260.0,1973-08-31,08/31/1973_24:00,15,,123.92051030421982
1973.0,9.0,8360.0,1973-09-30,09/30/1973_24:00,15,,124.11678115799802
1973.0,10.0,8360.0,1973-10-31,10/31/1973_24:00,15,,124.11678115799802
1973.0,11.0,8660.0,1973-11-30,11/30/1973_24:00,15,,124.70559371933265
1973.0,12.0,8610.0,1973-12-31,12/31/1973_24:00,15,,124.60745829244357
1974.0,1.0,8610.0,1974-01-31,01/31/1974_24:00,15,,124.60745829244357
1974.0,2.0,8120.0,1974-02-28,02/28/1974_24:00,15,,123.6457311089303
1974.0,3.0,8260.0,1974-03-31,03/31/1974_24:00,15,,123.92051030421982
1974.0,4.0,8460.0,1974-04-30,04/30/1974_24:00,15,,124.31305201177625
1974.0,5.0,7790.0,1974-05-31,05/31/1974_24:00,15,,122.9977011494253
1974.0,6.0,8710.0,1974-06-30,06/30/1974_24:00,15,,124.80372914622177
1974.0,7.0,8360.0,1974-07-31,07/31/1974_24:00,15,,124.11678115799802
1974.0,8.0,8460.0,1974-08-31,08/31/1974_24:00,15,,124.31305201177625
,,8265.0,1974-09-30,09/30/1974_24:00,15,,123.93032384690872
1974.0,10.0,8070.0,1974-10-31,10/31/1974_24:00,15,,123.54759568204122
1974.0,11.0,8360.0,1974-11-30,11/30/1974_24:00,15,,124.11678115799802
1974.0,12.0,8410.0,1974-12-31,12/31/1974_24:00,15,,124.21491658488713
1975.0,1.0,8260.0,1975-01-31,01/31/1975_24:00,15,,123.92051030421982
1975.0,2.0,8070.0,1975-02-28,02/28/1975_24:00,15,,123.54759568204122
1975.0,3.0,8460.0,1975-03-31,03/31/1975_24:00,15,,124.31305201177625
1975.0,4.0,8560.0,1975-04-30,04/30/1975_24:00,15,,124.50932286555445
1975.0,5.0,7980.0,1975-05-31,05/31/1975_24:00,15,,123.37095191364082
1975.0,6.0,8660.0,1975-06-30,06/30/1975_24:00,15,,124.70559371933265
,,8635.0,1975-07-31,07/31/1975_24:00,15,,124.65652600588811
1975.0,8.0,8610.0,1975-08-31,08/31/1975_24:00,15,,124.60745829244357
1975.0,9.0,8460.0,1975-09-30,09/30/1975_24:00,15,,124.31305201177625
1975.0,10.0,8660.0,1975-10-31,10/31/1975_24:00,15,,124.70559371933265
1975.0,11.0,8360.0,1975-11-30,11/30/1975_24:00,15,,124.11678115799802
1975.0,12.0,8030.0,1975-12-31,12/31/1975_24:00,15,,123.46908734052992
1976.0,1.0,8030.0,1976-01-31,01/31/1976_24:00,15,,123.46908734052992
1976.0,2.0,8560.0,1976-02-29,02/29/1976_24:00,15,,124.50932286555445
1976.0,3.0,8710.0,1976-03-31,03/31/1976_24:00,15,,124.80372914622177
1976.0,4.0,8820.0,1976-04-30,04/30/1976_24:00,15,,125.00000000000001
1976.0,5.0,8260.0,1976-05-31,05/31/1976_24:00,15,,123.92051030421982
,,8485.0,1976-06-30,06/30/1976_24:00,15,,124.3621197252208
1976.0,7.0,8710.0,1976-07-31,07/31/1976_24:00,15,,124.80372914622177
1976.0,8.0,8610.0,1976-08-31,08/31/1976_24:00,15,,124.60745829244357
1976.0,9.0,8510.0,1976-09-30,09/30/1976_24:00,15,,124.41118743866535
,,8535.0,1976-10-31,10/31/1976_24:00,15,,124.46025515210991
1976.0,11.0,8560.0,1976-11-30,11/30/1976_24:00,15,,124.50932286555445
