ITHTS,HQTS(1),HQTS(2),HQTS(3),HQTS(4),HQTS(5),HQTS(6),HQTS(7),HQTS(8),HQTS(9),HQTS(10),HQTS(11),HQTS(12)
10/31/1973_24:00,429.82,217.53,130.04,9999.0,9999.0,9999.0,124.11678115799802,201.53846153846155,232.884074941452,9999,9999,9999
11/30/1973_24:00,436.08,209.75,130.04,9999.0,9999.0,9999.0,124.70559371933265,206.45000000000002,232.884074941452,9999,9999,9999
12/31/1973_24:00,449.15,211.76,130.04,9999.0,9999.0,9999.0,124.60745829244357,203.4193548387097,236.96666666666667,9999,9999,9999
01/31/1974_24:00,451.1,209.61,130.04,9999.0,9999.0,9999.0,124.60745829244357,202.58064516129033,235.17181467181467,9999,9999,9999
02/28/1974_24:00,444.79,214.58,130.04,9999.0,9999.0,9999.0,123.6457311089303,206.90000000000003,235.97876447876448,9999,9999,9999
03/31/1974_24:00,455.7,219.98,130.04,9999.0,9999.0,9999.0,123.92051030421982,203.87096774193546,231.76068965517243,9999,9999,9999
04/30/1974_24:00,465.95,222.29,130.04,9999.0,9999.0,9999.0,124.31305201177625,205.02857142857144,233.07611241217796,9999,9999,9999
05/31/1974_24:00,462.87,227.7,130.04,9999.0,9999.0,9999.0,122.9977011494253,206.25,234.8822393822394,9999,9999,9999
06/30/1974_24:00,456.95,231.84,130.04,9999.0,9999.0,9999.0,124.80372914622177,205.97714285714287,233.77400468384076,9999,9999,9999
07/31/1974_24:00,447.14,229.25,130.04,9999.0,9999.0,9999.0,124.11678115799802,204.11428571428573,235.26447876447878,9999,9999,9999
08/31/1974_24:00,438.81,226.51,130.04,9999.0,9999.0,9999.0,124.31305201177625,201.76923076923075,231.5510344827586,9999,9999,9999
09/30/1974_24:00,435.59,222.27,130.04,9999.0,9999.0,9999.0,123.93032384690872,202.06451612903228,231.9703448275862,9999,9999,9999
10/31/1974_24:00,429.27,217.43,130.04,9999.0,9999.0,9999.0,123.54759568204122,201.46153846153845,225.1727272727273,9999,9999,9999
11/30/1974_24:00,427.17,215.34,130.04,9999.0,9999.0,9999.0,124.11678115799802,204.11428571428573,228.5,9999,9999,9999
12/31/1974_24:00,429.42,214.69,130.04,9999.0,9999.0,9999.0,124.21491658488713,205.7714285714286,237.73333333333335,9999,9999,9999
01/31/1975_24:00,433.81,215.88,130.04,9999.0,9999.0,9999.0,123.92051030421982,204.73142857142858,237.34000000000003,9999,9999,9999
02/28/1975_24:00,445.49,220.23,130.04,9999.0,9999.0,9999.0,123.54759568204122,205.75428571428574,237.43333333333334,9999,9999,9999
03/31/1975_24:00,451.6,222.18,130.04,9999.0,9999.0,9999.0,124.31305201177625,206.15,235.66602316602314,9999,9999,9999
04/30/1975_24:00,460.57,222.1,130.04,9999.0,9999.0,9999.0,124.50932286555445,202.09032258064516,233.980093676815,9999,9999,9999
05/31/1975_24:00,462.87,225.05,130.04,9999.0,9999.0,9999.0,123.37095191364082,205.11428571428573,232.79039812646369,9999,9999,9999
06/30/1975_24:00,459.73,231.27,130.04,9999.0,9999.0,9999.0,124.70559371933265,205.07428571428574,236.0830115830116,9999,9999,9999
07/31/1975_24:00,450.23,229.71,130.04,9999.0,9999.0,9999.0,124.65652600588811,205.11428571428573,237.73333333333335,9999,9999,9999
08/31/1975_24:00,440.74,225.82,130.04,9999.0,9999.0,9999.0,124.60745829244357,206.25,232.692037470726,9999,9999,9999
09/30/1975_24:00,437.88,222.46,130.04,9999.0,9999.0,9999.0,124.31305201177625,206.65000000000003,228.96896551724137,9999,9999,9999
10/31/1975_24:00,433.09,217.91,131.52,9999.0,9999.0,9999.0,124.70559371933265,205.02857142857144,224.03816046966733,9999,9999,9999
11/30/1975_24:00,432.31,215.06,131.52,9999.0,9999.0,9999.0,124.11678115799802,202.1290322580645,231.76068965517243,9999,9999,9999
12/31/1975_24:00,431.78,216.35,131.52,9999.0,9999.0,9999.0,123.46908734052992,206.90000000000003,229.25034482758622,9999,9999,9999
01/31/1976_24:00,431.07,216.93,131.52,9999.0,9999.0,9999.0,123.46908734052992,206.10000000000002,229.15655172413796,9999,9999,9999
02/29/1976_24:00,429.17,216.44,131.52,9999.0,9999.0,9999.0,124.50932286555445,206.04999999999998,234.97876447876448,9999,9999,9999
03/31/1976_24:00,435.46,214.75,131.52,9999.0,9999.0,9999.0,124.80372914622177,204.04000000000002,223.34148727984345,9999,9999,9999
04/30/1976_24:00,441.3,212.82,131.52,9999.0,9999.0,9999.0,125.00000000000001,207.7,233.6662763466042,9999,9999,9999
05/31/1976_24:00,449.44,209.63,131.52,9999.0,9999.0,9999.0,123.92051030421982,203.3483870967742,228.5937931034483,9999,9999,9999
06/30/1976_24:00,447.96,205.92,131.52,9999.0,9999.0,9999.0,124.3621197252208,204.09714285714287,234.59652509652508,9999,9999,9999
07/31/1976_24:00,443.08,202.09,131.52,9999.0,9999.0,9999.0,124.80372914622177,204.91428571428574,229.34413793103448,9999,9999,9999
08/31/1976_24:00,438.01,198.83,131.52,9999.0,9999.0,9999.0,124.60745829244357,202.0967741935484,234.0831381733021,9999,9999,9999
09/30/1976_24:00,431.88,196.48,131.52,9999.0,9999.0,9999.0,124.41118743866535,201.60256410256412,225.36060606060605,9999,9999,9999
10/31/1976_24:00,424.64,194.74,131.52,9999.0,9999.0,9999.0,124.46025515210991,201.0897435897436,229.25034482758622,9999,9999,9999
11/30/1976_24:00,420.23,193.97,131.52,9999.0,9999.0,9999.0,124.50932286555445,200.5769230769231,233.46018735362998,9999,9999,9999
12/31/1976_24:00,419.8,193.16,131.52,9999.0,9999.0,9999.0,124.41118743866535,207.79,232.5,9999,9999,9999
01/31/1977_24:00,420.17,192.65,131.52,9999.0,9999.0,9999.0,124.70559371933265,208.4739130434783,235.97876447876448,9999,9999,9999
02/28/1977_24:00,420.48,190.93,131.52,9999.0,9999.0,9999.0,124.70559371933265,207.39,235.26447876447878,9999,9999,9999
